new meter diffuser on input,,,,,,,,,,,
Oct 22 2021 14:35:00,Pump Off Samples,N=15,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
6,97537.67969,97533.64844,97625.46094,97496.17969,208,4.03,-87.78,41.5,-91.81,37.47,129.28
7,97538.19531,97533.75781,97625.75781,97496.23438,208,4.44,-87.56,41.96,-92,37.52,129.52
8,97537.55469,97534.17969,97626.17188,97496.23438,208,3.37,-88.62,41.32,-91.99,37.95,129.94
9,97538,97534.38281,97625.875,97496.10156,208,3.62,-87.87,41.9,-91.49,38.28,129.77
10,97536.95313,97533.74219,97625.52344,97496.07031,208,3.21,-88.57,40.88,-91.78,37.67,129.45
mu,47.296875,35.703125,35.015625,0.375,189.5,,,,,,
sd,0.597013,0.121199,0.060851,0.102361,34.39,,,,,,
Q,0.44495,0.305156,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:43:44,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97489.75781,97497.92969,97589.82813,97495.22656,13,-8.17,-100.07,-5.47,-91.9,2.7,94.6
2,97489.97656,97498.17188,97590.13281,97495.28125,144,-8.2,-100.16,-5.3,-91.96,2.89,94.85
3,97490.05469,97497.83594,97589.97656,97495.36719,207,-7.78,-99.92,-5.31,-92.14,2.47,94.61
4,97490.125,97498.09375,97590.34375,97495.44531,207,-7.97,-100.22,-5.32,-92.25,2.65,94.9
5,97490.28906,97498.24219,97590.25781,97495.59375,207,-7.95,-99.97,-5.3,-92.02,2.65,94.66
6,97490.35156,97498.28125,97590.35156,97495.66406,207,-7.93,-100,-5.31,-92.07,2.62,94.69
7,97490.57813,97498.28125,97590.54688,97495.8125,207,-7.7,-99.97,-5.23,-92.27,2.47,94.73
8,97490.41406,97498.33594,97590.61719,97495.94531,207,-7.92,-100.2,-5.53,-92.28,2.39,94.67
9,97490.55469,97498.64844,97590.78125,97495.98438,207,-8.09,-100.23,-5.43,-92.13,2.66,94.8
10,97490.65625,97498.52344,97590.95313,97495.94531,211,-7.87,-100.3,-5.29,-92.43,2.58,95.01
Oct 29 2021 16:43:44,flow rate=0.42,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97558.49219,97550.625,97640.73438,97495.52344,10,7.87,-82.24,62.97,-90.11,55.1,145.21
2,97558.46094,97549.92969,97641,97495.17969,154,8.53,-82.54,63.28,-91.07,54.75,145.82
3,97558.13281,97549.89844,97640.60156,97495.33594,208,8.23,-82.47,62.8,-90.7,54.56,145.27
4,97559.00781,97550.24219,97641.27344,97495.28125,212,8.77,-82.27,63.73,-91.03,54.96,145.99
5,97558.46094,97550.28125,97640.78906,97495.19531,204,8.18,-82.33,63.27,-90.51,55.09,145.59
6,97558.42188,97550.02344,97640.53125,97495.17969,208,8.4,-82.11,63.24,-90.51,54.84,145.35
7,97558.25,97550.28125,97641.04688,97495.05469,208,7.97,-82.8,63.2,-90.77,55.23,145.99
8,97557.95313,97549.98438,97640.6875,97494.98438,208,7.97,-82.73,62.97,-90.7,55,145.7
9,97557.90625,97549.60156,97640.60156,97495.19531,208,8.3,-82.7,62.71,-91,54.41,145.41
10,97558.88281,97550.07031,97641.42969,97495.13281,208,8.81,-82.55,63.75,-91.36,54.94,146.3
mu,68.546875,52.171875,50.835937,0,194.5,,,,,,
sd,0.36152,0.338532,0.297765,0.144267,27.2,,,,,,
Q,0.528798,0.35834,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:44:14,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97489.41406,97497.24219,97589.49219,97494.875,9,-7.83,-100.08,-5.46,-92.25,2.37,94.62
2,97489.32813,97497.15625,97589.41406,97494.79688,150,-7.83,-100.09,-5.47,-92.26,2.36,94.62
3,97489.27344,97497.05469,97589.46094,97494.76563,207,-7.78,-100.19,-5.49,-92.41,2.29,94.7
4,97489.25781,97497.13281,97589.49219,97494.85938,207,-7.87,-100.23,-5.6,-92.36,2.27,94.63
5,97489.24219,97497.17969,97589.46875,97494.70313,207,-7.94,-100.23,-5.46,-92.29,2.48,94.77
6,97489.23438,97497.29688,97589.50781,97494.59375,207,-8.06,-100.27,-5.36,-92.21,2.7,94.91
7,97489.1875,97496.96094,97589.47656,97494.75,207,-7.77,-100.29,-5.56,-92.52,2.21,94.73
8,97489.10938,97496.96094,97589.35156,97494.69531,207,-7.85,-100.24,-5.59,-92.39,2.27,94.66
9,97488.97656,97496.95313,97589.32031,97494.55469,206,-7.98,-100.34,-5.58,-92.37,2.4,94.77
10,97489.10938,97497,97589.30469,97494.61719,208,-7.89,-100.2,-5.51,-92.3,2.38,94.69
Oct 29 2021 16:44:14,flow rate=0.42,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97555.92188,97548.5625,97639.42969,97494.17969,13,7.36,-83.51,61.74,-90.87,54.38,145.25
2,97555.25781,97548.97656,97639.5625,97494.47656,202,6.28,-84.3,60.78,-90.59,54.5,145.09
3,97555.96094,97548.40625,97639.64063,97494.625,207,7.55,-83.68,61.34,-91.23,53.78,145.02
4,97557.02344,97548.89063,97639.99219,97494.41406,207,8.13,-82.97,62.61,-91.1,54.48,145.58
5,97557.46094,97548.46875,97639.96094,97494.41406,207,8.99,-82.5,63.05,-91.49,54.05,145.55
6,97557.80469,97549.3125,97639.74219,97494.25,207,8.49,-81.94,63.55,-90.43,55.06,145.49
7,97557.07031,97549.36719,97639.71094,97494.24219,206,7.7,-82.64,62.83,-90.34,55.13,145.47
8,97557.32031,97548.45313,97639.71875,97494.22656,208,8.87,-82.4,63.09,-91.27,54.23,145.49
9,97556.00781,97548.29688,97639.11719,97494.16406,206,7.71,-83.11,61.84,-90.82,54.13,144.95
10,97556.10156,97548.21875,97639.01563,97494.25,208,7.88,-82.91,61.85,-90.8,53.97,144.77
mu,66.726562,51.554687,50.1875,-0.40625,205.75,,,,,,
sd,0.730138,0.269465,0.24029,0.185262,2.5,,,,,,
Q,0.509001,0.343319,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:45:01,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97486.41406,97494.0625,97586.48438,97491.60156,9,-7.65,-100.07,-5.19,-92.42,2.46,94.88
2,97486.375,97493.97656,97586.32031,97491.83594,195,-7.6,-99.95,-5.46,-92.34,2.14,94.48
3,97486.28125,97493.96875,97586.33594,97491.77344,207,-7.69,-100.05,-5.49,-92.37,2.2,94.56
4,97486.28906,97494.07031,97586.44531,97491.67969,207,-7.78,-100.16,-5.39,-92.37,2.39,94.77
5,97486.03906,97493.94531,97586.38281,97491.76563,207,-7.91,-100.34,-5.73,-92.44,2.18,94.62
6,97485.97656,97493.8125,97586.375,97491.625,207,-7.84,-100.4,-5.65,-92.56,2.19,94.75
7,97485.86719,97493.83594,97586.36719,97491.90625,207,-7.97,-100.5,-6.04,-92.53,1.93,94.46
8,97486.00781,97493.96094,97586.34375,97491.74219,206,-7.95,-100.34,-5.73,-92.38,2.22,94.6
9,97485.97656,97493.90625,97586.21875,97491.53906,207,-7.93,-100.24,-5.56,-92.31,2.37,94.68
10,97485.96094,97493.88281,97586.02344,97491.60156,207,-7.92,-100.06,-5.64,-92.14,2.28,94.42
Oct 29 2021 16:45:01,flow rate=0.52,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97575.91406,97563.8125,97654.03906,97491.71094,9,12.1,-78.12,84.2,-90.23,72.1,162.33
2,97577.57031,97564.50781,97655.07031,97491.4375,179,13.06,-77.5,86.13,-90.56,73.07,163.63
3,97576.78906,97564.1875,97655.32813,97491.05469,207,12.6,-78.54,85.73,-91.14,73.13,164.27
4,97577.42188,97563.67188,97654.39844,97490.82031,207,13.75,-76.98,86.6,-90.73,72.85,163.58
5,97576.54688,97563.23438,97654.14063,97490.4375,206,13.31,-77.59,86.11,-90.91,72.8,163.7
6,97577.32813,97562.88281,97654.14063,97490.10938,208,14.45,-76.81,87.22,-91.26,72.77,164.03
7,97575.89063,97562.48438,97653.64063,97490.09375,206,13.41,-77.75,85.8,-91.16,72.39,163.55
8,97576.91406,97563.25781,97653.83594,97490,207,13.66,-76.92,86.91,-90.58,73.26,163.84
9,97575.21875,97562.60938,97653.36719,97489.875,207,12.61,-78.15,85.34,-90.76,72.73,163.49
10,97576.57031,97563.35156,97654.15625,97489.88281,207,13.22,-77.59,86.69,-90.8,73.47,164.27
mu,90.585937,70.03125,68.3125,-0.46875,199.75,,,,,,
sd,0.753613,0.377622,0.594178,0.395928,13.84,,,,,,
Q,0.592454,0.401031,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:45:29,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97488,97495.46875,97588.08594,97493.01563,13,-7.47,-100.09,-5.02,-92.62,2.45,95.07
2,97487.91406,97495.64844,97587.86719,97492.96875,197,-7.73,-99.95,-5.05,-92.22,2.68,94.9
3,97488.08594,97495.625,97588.08594,97492.91406,207,-7.54,-100,-4.83,-92.46,2.71,95.17
4,97488.19531,97495.94531,97588.39844,97493.22656,206,-7.75,-100.2,-5.03,-92.45,2.72,95.17
5,97488.20313,97495.89063,97588.48438,97493.53906,207,-7.69,-100.28,-5.34,-92.59,2.35,94.95
6,97488.42969,97495.92188,97588.71875,97493.54688,206,-7.49,-100.29,-5.12,-92.8,2.37,95.17
7,97488.40625,97496.05469,97588.66406,97493.78125,207,-7.65,-100.26,-5.37,-92.61,2.27,94.88
8,97488.60938,97496.03906,97588.66406,97493.78125,207,-7.43,-100.05,-5.17,-92.62,2.26,94.88
9,97488.53906,97496.14844,97588.78906,97493.73438,206,-7.61,-100.25,-5.2,-92.64,2.41,95.05
10,97488.73438,97496.375,97588.875,97493.75,207,-7.64,-100.14,-5.02,-92.5,2.62,95.12
Oct 29 2021 16:45:29,flow rate=0.52,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97580.00781,97566.39844,97656.89063,97493.08594,13,13.61,-76.88,86.92,-90.49,73.31,163.8
2,97579.45313,97566.55469,97657.21094,97493.125,163,12.9,-77.76,86.33,-90.66,73.43,164.09
3,97579.92969,97566.28906,97656.57813,97493.125,208,13.64,-76.65,86.8,-90.29,73.16,163.45
4,97579.9375,97566.09375,97657.03906,97493.09375,207,13.84,-77.1,86.84,-90.95,73,163.95
5,97578.00781,97566.33594,97656.71875,97493.0625,208,11.67,-78.71,84.95,-90.38,73.27,163.66
6,97578.11719,97565.90625,97656.10938,97492.96094,208,12.21,-77.99,85.16,-90.2,72.95,163.15
7,97580.1875,97566.08594,97657.07031,97492.73438,208,14.1,-76.88,87.45,-90.98,73.35,164.34
8,97579.89844,97565.4375,97656.53125,97492.6875,207,14.46,-76.63,87.21,-91.09,72.75,163.84
9,97580.19531,97565.39063,97656.26563,97492.49219,208,14.8,-76.07,87.7,-90.87,72.9,163.77
10,97576.35938,97565.77344,97656.5625,97492.39063,212,10.59,-80.2,83.97,-90.79,73.38,164.17
mu,91.789062,70.664062,68.820312,0.078125,196.5,,,,,,
sd,0.255075,0.193744,0.268444,0.02067,22.34,,,,,,
Q,0.600617,0.405744,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:46:14,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97488.83594,97496.48438,97588.96094,97494.11719,9,-7.65,-100.12,-5.28,-92.48,2.37,94.84
2,97489.05469,97496.53906,97589.15625,97494.15625,166,-7.48,-100.1,-5.1,-92.62,2.38,95
3,97488.94531,97496.67969,97589.21094,97494.32031,204,-7.73,-100.27,-5.37,-92.53,2.36,94.89
4,97489.04688,97496.59375,97589.28906,97494.46875,208,-7.55,-100.24,-5.42,-92.7,2.12,94.82
5,97489.07813,97496.72656,97589.05469,97494.39063,208,-7.65,-99.98,-5.31,-92.33,2.34,94.66
6,97489.125,97496.85156,97589.32031,97494.42969,207,-7.73,-100.2,-5.3,-92.47,2.42,94.89
7,97489.10938,97496.6875,97589.35156,97494.35156,208,-7.58,-100.24,-5.24,-92.66,2.34,95
8,97489.0625,97496.84375,97589.11719,97494.40625,207,-7.78,-100.05,-5.34,-92.27,2.44,94.71
9,97489.14063,97496.6875,97589.1875,97494.45313,208,-7.55,-100.05,-5.31,-92.5,2.23,94.73
10,97488.94531,97496.65625,97589.00781,97494.23438,208,-7.71,-100.06,-5.29,-92.35,2.42,94.77
Oct 29 2021 16:46:14,flow rate=0.61,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97605.32813,97586.36719,97677.10156,97494.49219,10,18.96,-71.77,110.84,-90.73,91.87,182.61
2,97606.07031,97586.98438,97677.70313,97494.57031,113,19.09,-71.63,111.5,-90.72,92.41,183.13
3,97606.39063,97587.28906,97677.99219,97494.54688,207,19.1,-71.6,111.84,-90.7,92.74,183.45
4,97606.20313,97587.98438,97677.75781,97494.6875,207,18.22,-71.55,111.52,-89.77,93.3,183.07
5,97606.73438,97587.4375,97677.92969,97494.67969,207,19.3,-71.2,112.05,-90.49,92.76,183.25
6,97606.6875,97587.67188,97678.10938,97494.71094,207,19.02,-71.42,111.98,-90.44,92.96,183.4
7,97607.75781,97587.89844,97678.23438,97494.53906,207,19.86,-70.48,113.22,-90.34,93.36,183.7
8,97607.84375,97588.11719,97678.32031,97494.5625,207,19.73,-70.48,113.28,-90.2,93.55,183.76
9,97607.1875,97587.8125,97678.10938,97494.60156,207,19.37,-70.92,112.59,-90.3,93.21,183.51
10,97607.39844,97588.99219,97679,97494.46094,206,18.41,-71.6,112.94,-90.01,94.53,184.54
mu,117.03125,90.578125,88.484375,0.3125,183.5,,,,,,
sd,0.465549,0.672208,0.379396,0.082433,47,,,,,,
Q,0.672106,0.456055,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:48:58,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97487.94531,97495.60156,97588.20313,97493.22656,9,-7.66,-100.26,-5.28,-92.6,2.37,94.98
2,97487.85156,97495.72656,97588.15625,97493.50781,156,-7.87,-100.3,-5.66,-92.43,2.22,94.65
3,97487.76563,97495.875,97588.3125,97493.30469,207,-8.11,-100.55,-5.54,-92.44,2.57,95.01
4,97487.99219,97495.77344,97588.27344,97493.28906,207,-7.78,-100.28,-5.3,-92.5,2.48,94.98
5,97488.13281,97495.85156,97588.45313,97493.5625,207,-7.72,-100.32,-5.43,-92.6,2.29,94.89
6,97488.04688,97496.125,97588.26563,97493.57813,207,-8.08,-100.22,-5.53,-92.14,2.55,94.69
7,97488.16406,97496.23438,97588.21875,97493.54688,207,-8.07,-100.05,-5.38,-91.98,2.69,94.67
8,97488.14844,97496.00781,97588.32031,97493.67969,207,-7.86,-100.17,-5.53,-92.31,2.33,94.64
9,97488.30469,97496.38281,97588.54688,97493.64844,207,-8.08,-100.24,-5.34,-92.16,2.73,94.9
10,97488.25,97496.3125,97588.17969,97493.78125,206,-8.06,-99.93,-5.53,-91.87,2.53,94.4
Oct 29 2021 16:48:58,flow rate=0.61,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97597.24219,97583.32813,97671.17188,97494.0625,10,13.91,-73.93,103.18,-87.84,89.27,177.11
2,97603.70313,97586.77344,97674.64844,97494.375,180,16.93,-70.95,109.33,-87.87,92.4,180.27
3,97605.71875,97587.05469,97676.54688,97494.35938,212,18.66,-70.83,111.36,-89.49,92.7,182.19
4,97605.33594,97588.625,97677.26563,97494.39844,204,16.71,-71.93,110.94,-88.64,94.23,182.87
5,97607.75781,97589.49219,97678.35156,97494.32031,207,18.27,-70.59,113.44,-88.86,95.17,184.03
6,97607.48438,97589.17969,97679.38281,97494.36719,208,18.3,-71.9,113.12,-90.2,94.81,185.02
7,97609.19531,97588.625,97679.60156,97494.33594,207,20.57,-70.41,114.86,-90.98,94.29,185.27
8,97608.26563,97589.54688,97679.27344,97494.38281,208,18.72,-71.01,113.88,-89.73,95.16,184.89
9,97609.8125,97588.61719,97679.875,97494.52344,208,21.2,-70.06,115.29,-91.26,94.09,185.35
10,97607.8125,97588.92188,97678.67969,97494.625,208,18.89,-70.87,113.19,-89.76,94.3,184.05
mu,115.109375,90.703125,86.664062,0.976562,200.75,,,,,,
sd,3.936792,2.232107,2.724599,0.158512,14.22,,,,,,
Q,0.64558,0.417013,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:49:52,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97490.74219,97498.26563,97590.99219,97496.01563,13,-7.52,-100.25,-5.27,-92.73,2.25,94.98
2,97490.78125,97498.71875,97591.05469,97496.03906,172,-7.94,-100.27,-5.26,-92.34,2.68,95.02
3,97491.1875,97498.50781,97591.125,97496.1875,207,-7.32,-99.94,-5,-92.62,2.32,94.94
4,97491.13281,97498.69531,97591.26563,97496.20313,208,-7.56,-100.13,-5.07,-92.57,2.49,95.06
5,97491.22656,97498.82813,97591.44531,97496.21875,208,-7.6,-100.22,-4.99,-92.62,2.61,95.23
6,97491.27344,97498.8125,97591.55469,97496.17969,207,-7.54,-100.28,-4.91,-92.74,2.63,95.37
7,97491.36719,97498.86719,97591.42188,97496.28906,208,-7.5,-100.05,-4.92,-92.55,2.58,95.13
8,97491.48438,97498.85938,97591.45313,97496.28125,207,-7.37,-99.97,-4.8,-92.59,2.58,95.17
9,97491.32813,97498.89063,97591.64844,97496.3125,208,-7.56,-100.32,-4.98,-92.76,2.58,95.34
10,97491.42188,97499.00781,97591.35156,97496.35938,208,-7.59,-99.93,-4.94,-92.34,2.65,94.99
Oct 29 2021 16:49:52,flow rate=0.71,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97633.19531,97610.27344,97699.85938,97497.05469,13,22.92,-66.66,136.14,-89.59,113.22,202.8
2,97635.32813,97610.96094,97700.60156,97497.19531,202,24.37,-65.27,138.13,-89.64,113.77,203.41
3,97633.77344,97611.19531,97701.3125,97497.07813,207,22.58,-67.54,136.7,-90.12,114.12,204.23
4,97635.25,97611.35156,97701.28125,97497.24219,207,23.9,-66.03,138.01,-89.93,114.11,204.04
5,97638.60156,97612.625,97701.54688,97497,207,25.98,-62.95,141.6,-88.92,115.62,204.55
6,97636.03906,97610.9375,97701.375,97497.08594,206,25.1,-65.34,138.95,-90.44,113.85,204.29
7,97635.57813,97611.71875,97701.29688,97496.84375,207,23.86,-65.72,138.73,-89.58,114.87,204.45
8,97636.5625,97611.98438,97701.67188,97496.77344,207,24.58,-65.11,139.79,-89.69,115.21,204.9
9,97636.52344,97611.28125,97701.82813,97496.875,207,25.24,-65.3,139.65,-90.55,114.41,204.95
10,97635.67969,97612.57031,97702.21875,97496.89063,207,23.11,-66.54,138.79,-89.65,115.68,205.33
mu,143.429687,112.398437,109.65625,1.03125,205.75,,,,,,
sd,1.068819,0.475815,0.68633,0.090549,2.5,,,,,,
Q,0.727946,0.491466,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:50:21,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97492.10938,97500.07031,97592.41406,97497.41406,10,-7.96,-100.3,-5.3,-92.34,2.66,95
2,97492.3125,97499.77344,97592.46094,97497.20313,199,-7.46,-100.15,-4.89,-92.69,2.57,95.26
3,97492.28125,97499.75781,97592.1875,97497.13281,204,-7.48,-99.91,-4.85,-92.43,2.62,95.05
4,97492.26563,97499.59375,97592.35156,97497.11719,208,-7.33,-100.09,-4.85,-92.76,2.48,95.23
5,97492.15625,97499.54688,97592.27344,97497.33594,208,-7.39,-100.12,-5.18,-92.73,2.21,94.94
6,97492.32813,97499.55469,97592,97497.21094,208,-7.23,-99.67,-4.88,-92.45,2.34,94.79
7,97492.23438,97499.53125,97592.13281,97497.25,208,-7.3,-99.9,-5.02,-92.6,2.28,94.88
8,97492.15625,97499.625,97592.01563,97497.08594,208,-7.47,-99.86,-4.93,-92.39,2.54,94.93
9,97492.42969,97499.57813,97592.28125,97497.36719,208,-7.15,-99.85,-4.94,-92.7,2.21,94.91
10,97492.51563,97499.88281,97592.38281,97497.42188,208,-7.37,-99.87,-4.91,-92.5,2.46,94.96
Oct 29 2021 16:50:21,flow rate=0.71,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97640.15625,97614.59375,97704.72656,97499.42969,9,25.56,-64.57,140.73,-90.13,115.16,205.3
2,97638.14844,97614.76563,97704.76563,97499.59375,167,23.38,-66.62,138.55,-90,115.17,205.17
3,97639.14844,97613.78125,97703.79688,97499.53125,206,25.37,-64.65,139.62,-90.02,114.25,204.27
4,97641.64063,97614.00781,97703.94531,97499.49219,207,27.63,-62.3,142.15,-89.94,114.52,204.45
5,97640.58594,97614.84375,97704.07031,97499.625,207,25.74,-63.48,140.96,-89.23,115.22,204.45
6,97639.94531,97614.74219,97704.65625,97499.63281,207,25.2,-64.71,140.31,-89.91,115.11,205.02
7,97639.38281,97613.67969,97704.51563,97499.64844,207,25.7,-65.13,139.73,-90.84,114.03,204.87
8,97639.40625,97614.23438,97704.22656,97499.6875,207,25.17,-64.82,139.72,-89.99,114.55,204.54
9,97640.07031,97614.11719,97703.75,97499.69531,207,25.95,-63.68,140.37,-89.63,114.42,204.05
10,97638.74219,97615.375,97705.15625,97499.9375,207,23.37,-66.41,138.8,-89.78,115.44,205.22
mu,147.546875,114.484375,111.960937,2.296875,196.75,,,,,,
sd,1.490462,0.46799,0.509073,0.068998,19.84,,,,,,
Q,0.751393,0.510637,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:51:45,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97496.17969,97503.75781,97596.24219,97501.1875,13,-7.58,-100.06,-5.01,-92.48,2.57,95.05
2,97496.3125,97503.79688,97596.07031,97501.17969,148,-7.48,-99.76,-4.87,-92.27,2.62,94.89
3,97496.10938,97503.69531,97595.91406,97501.27344,206,-7.59,-99.8,-5.16,-92.22,2.42,94.64
4,97496.09375,97503.875,97596.08594,97501.40625,207,-7.78,-99.99,-5.31,-92.21,2.47,94.68
5,97496,97503.5,97596.05469,97501.14844,207,-7.5,-100.05,-5.15,-92.55,2.35,94.91
6,97495.94531,97503.52344,97596.14063,97501.3125,207,-7.58,-100.2,-5.37,-92.62,2.21,94.83
7,97496.125,97503.71094,97596.10156,97501.59375,207,-7.59,-99.98,-5.47,-92.39,2.12,94.51
8,97496.35156,97503.9375,97596.47656,97501.64063,207,-7.59,-100.12,-5.29,-92.54,2.3,94.84
9,97496.53125,97503.97656,97596.48438,97501.64844,207,-7.45,-99.95,-5.12,-92.51,2.33,94.84
10,97496.5,97504.13281,97596.60156,97501.75781,207,-7.63,-100.1,-5.26,-92.47,2.37,94.84
Oct 29 2021 16:51:45,flow rate=0.76,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97670.35156,97638.92188,97728.64063,97501.36719,13,31.43,-58.29,168.98,-89.72,137.55,227.27
2,97670.05469,97637.98438,97728.54688,97501.42969,108,32.07,-58.49,168.62,-90.56,136.55,227.12
3,97670.14844,97639.40625,97728.0625,97501.70313,207,30.74,-57.91,168.45,-88.66,137.7,226.36
4,97670.94531,97638.67188,97729.44531,97501.60938,207,32.27,-58.5,169.34,-90.77,137.06,227.84
5,97670.41406,97639.34375,97729.01563,97501.64844,206,31.07,-58.6,168.77,-89.67,137.7,227.37
6,97669.07031,97637.91406,97728.35938,97501.92969,208,31.16,-59.29,167.14,-90.45,135.98,226.43
7,97669.07813,97638.32813,97728.28125,97502.13281,206,30.75,-59.2,166.95,-89.95,136.2,226.15
8,97670.61719,97639.69531,97727.82813,97501.99219,207,30.92,-57.21,168.62,-88.13,137.7,225.84
9,97670.28125,97638.89063,97729.17969,97501.89844,207,31.39,-58.9,168.38,-90.29,136.99,227.28
10,97670.28906,97638.97656,97729.19531,97501.9375,207,31.31,-58.91,168.35,-90.22,137.04,227.26
mu,174.195312,134.96875,132.59375,0.265625,182,,,,,,
sd,0.39989,0.592309,0.573337,0.155859,49.34,,,,,,
Q,0.818445,0.560935,nan,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
diffuser on output,,,,,,,,,,,
Oct 29 2021 16:52:15,Pump Off Samples,N=10,,,,,,,,,
n,In,Mid,Out,Ambient,t (ms),In - Mid,In - Out,In - Ambient,Mid - Out,Mid - Ambient,Out - Ambient
1,97497.25781,97504.92969,97597.58594,97502.35938,10,-7.67,-100.33,-5.1,-92.66,2.57,95.23
2,97497.4375,97504.99219,97597.60156,97502.59375,154,-7.55,-100.16,-5.16,-92.61,2.4,95.01
3,97497.40625,97505.00781,97597.65625,97502.49219,202,-7.6,-100.25,-5.09,-92.65,2.52,95.16
4,97497.52344,97504.82813,97597.875,97502.61719,207,-7.3,-100.35,-5.09,-93.05,2.21,95.26
5,97497.42188,97505.03906,97597.53906,97502.57031,207,-7.62,-100.12,-5.15,-92.5,2.47,94.97
6,97497.71875,97504.99219,97597.67188,97502.52344,206,-7.27,-99.95,-4.8,-92.68,2.47,95.15
7,97497.82031,97505.0625,97597.83594,97502.6875,206,-7.24,-100.02,-4.87,-92.77,2.37,95.15
8,97497.64844,97505.16406,97597.85156,97502.67969,207,-7.52,-100.2,-5.03,-92.69,2.48,95.17
9,97497.94531,97505.35938,97597.96875,97502.89063,206,-7.41,-100.02,-4.95,-92.61,2.47,95.08
10,97497.96875,97505.42969,97598.17188,97502.95313,207,-7.46,-100.2,-4.98,-92.74,2.48,95.22
